age,income,employment_type,credit_history_bad,prev_loans,loan_amount,loan_term_days,region,education,default
56.0,60143.0,ИП,0.0,0.0,15426,30,ЕКБ,высшее,0
69.0,41902.0,наемный,0.0,2.0,16527,14,НСК,среднее,0
46.0,37565.0,наемный,0.0,3.0,13438,30,НСК,высшее,0
32.0,26152.0,пенсионер,0.0,5.0,2755,14,НСК,среднее_специальное,0
60.0,52979.0,наемный,0.0,0.0,19187,7,НСК,высшее,0
25.0,46460.0,наемный,1.0,0.0,18019,21,Москва,среднее_специальное,0
38.0,22012.0,безработный,0.0,1.0,10882,14,НСК,среднее,1
56.0,47230.0,наемный,1.0,0.0,15808,14,ЕКБ,среднее_специальное,1
36.0,8461.0,студент,1.0,1.0,3162,7,НСК,среднее,1
40.0,63188.0,ИП,1.0,2.0,26254,7,ЕКБ,среднее,1
,29148.0,наемный,1.0,0.0,4033,7,Москва,неоконченное,0
28.0,22688.0,студент,0.0,4.0,8935,21,ЕКБ,среднее_специальное,1
41.0,12170.0,наемный,0.0,2.0,3879,21,НСК,высшее,0
53.0,39128.0,наемный,0.0,1.0,5479,21,НСК,высшее,0
57.0,51408.0,наемный,1.0,1.0,18915,14,НСК,среднее,1
41.0,,наемный,0.0,4.0,5108,14,Москва,высшее,0
20.0,,наемный,0.0,5.0,13866,21,НСК,высшее,1
39.0,33192.0,наемный,0.0,1.0,7049,21,НСК,,0
19.0,36311.0,наемный,0.0,,5149,21,Москва,среднее,0
41.0,49459.0,наемный,0.0,1.0,9908,14,СПб,среднее,0
61.0,16980.0,безработный,0.0,2.0,4678,7,НСК,среднее,1
47.0,5000.0,пенсионер,1.0,1.0,1488,14,ЕКБ,среднее,1
55.0,30235.0,наемный,1.0,1.0,4819,14,НСК,среднее,1
19.0,,наемный,1.0,2.0,11363,30,Москва,среднее_специальное,0
38.0,44489.0,наемный,1.0,2.0,19742,14,ЕКБ,неоконченное,1
50.0,57481.0,наемный,0.0,1.0,26679,30,Москва,среднее_специальное,0
29.0,31826.0,безработный,1.0,2.0,9995,21,Москва,среднее_специальное,1
39.0,11577.0,,0.0,4.0,3428,7,НСК,среднее,1
61.0,65032.0,наемный,1.0,3.0,21627,14,Москва,среднее,0
42.0,40244.0,наемный,0.0,0.0,7478,14,НСК,среднее_специальное,0
66.0,,наемный,0.0,2.0,15108,14,Москва,среднее,0
44.0,53663.0,ИП,1.0,0.0,21363,14,НСК,высшее,0
59.0,17432.0,наемный,0.0,2.0,3407,14,Москва,среднее,0
45.0,26070.0,студент,0.0,0.0,5444,14,ЕКБ,высшее,0
33.0,30947.0,безработный,0.0,2.0,11121,21,НСК,среднее_специальное,1
32.0,29844.0,наемный,0.0,4.0,6838,14,ЕКБ,высшее,0
64.0,37721.0,наемный,0.0,3.0,9133,30,,высшее,0
68.0,10956.0,студент,0.0,3.0,4518,21,НСК,среднее_специальное,0
61.0,30396.0,наемный,0.0,1.0,6285,30,НСК,среднее_специальное,0
